unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,151928.4,2167709.0
1657807946.3195548,07/15/2022--00:12:26,138580.45,476114.35
1657865324.281464,07/15/2022--16:08:44,125266.4,1868874.25
1657894118.107123,07/16/2022--00:08:38,163315.6,2400299.35
1658812815.1912007,07/26/2022--15:20:15,106686.6,1474785.85
1658815736.5710416,07/26/2022--16:08:56,153141.35,2013901.9
1658844889.9973571,07/27/2022--00:14:49,103973.6,1378377.6
1658848005.9232907,07/27/2022--01:06:45,131639.0,1754821.0
1658876959.8061535,07/27/2022--09:09:19,193313.1,2448261.75
1658906431.1616275,07/27/2022--17:20:31,120698.8,1495531.8
1658964011.7123463,07/28/2022--09:20:11,241170.45,1598819.05
1658991790.2457771,07/28/2022--17:03:10,199745.7,2522032.35
1659049859.7900746,07/29/2022--09:10:59,167911.95,1484578.35
1659079050.0223944,07/29/2022--17:17:30,235622.95,2314476.95
1659135989.7470224,07/30/2022--09:06:29,232598.75,2988509.65
1659164560.1930625,07/30/2022--17:02:40,251852.1,3373988.45
1659193295.8534577,07/31/2022--01:01:35,256777.1,3350114.3
1659223175.87765,07/31/2022--09:19:35,136275.0,2189250.9
1659394922.9589896,08/02/2022--09:02:02,187229.55,2927749.5
1659423710.70845,08/02/2022--17:01:50,150771.15,1903311.95
1659452479.933005,08/03/2022--01:01:19,126782.05,1689263.35
1659481254.5834172,08/03/2022--09:00:54,156180.4,2191385.35
1659510483.5113194,08/03/2022--17:08:03,189695.2,2686709.1
1659539025.8442419,08/04/2022--01:03:45,202852.4,2349038.3
1659567977.65322,08/04/2022--09:06:17,121184.95,1389773.2
1659596737.4315803,08/04/2022--17:05:37,98270.0,1237699.65
1659625544.4629736,08/05/2022--01:05:44,162311.6,1799171.0
1659654487.963708,08/05/2022--09:08:07,200390.8,2390372.75
1659683098.9748487,08/05/2022--17:04:58,171878.7,2036836.5
1659798058.491692,08/07/2022--01:00:58,206059.65,2034841.35
1659826821.1099102,08/07/2022--09:00:21,165833.6,1996393.75
1659886109.5671794,08/08/2022--01:28:29,219120.85,2399169.15
1659915489.3146017,08/08/2022--09:38:09,165141.7,1742053.7
1659942684.7980738,08/08/2022--17:11:24,255926.5,3465296.6
1659971568.7314563,08/09/2022--01:12:48,193438.75,2389216.8
1660030295.9264836,08/09/2022--17:31:35,123880.5,1692123.75
1660172904.0226371,08/11/2022--09:08:24,249970.25,3954943.0
1660202153.9173074,08/11/2022--17:15:53,247835.95,2060925.55
1660260089.9444501,08/12/2022--09:21:29,368580.0,2767539.05
1660288029.6810946,08/12/2022--17:07:09,273387.4,2027894.05
1660316972.8768725,08/13/2022--01:09:32,302917.3,1405538.35
1660347292.7260678,08/13/2022--09:34:52,238368.15,2473728.9
1660374586.0104291,08/13/2022--17:09:46,331925.6,4010663.05
1660434289.4885554,08/14/2022--09:44:49,271209.65,1630598.2
1660462690.270382,08/14/2022--17:38:10,288004.65,4145261.95
1660490144.9181502,08/15/2022--01:15:44,337404.0,2730876.35
1660520035.3389182,08/15/2022--09:33:55,217721.4,3031025.4
1660548110.1855645,08/15/2022--17:21:50,298560.85,4185303.9
1660633733.4457946,08/16/2022--17:08:53,391755.7,3727944.15
1660662258.480969,08/17/2022--01:04:18,273837.75,1907299.0
1660692425.9171295,08/17/2022--09:27:05,315207.25,3109758.9
1660720046.0474148,08/17/2022--17:07:26,370183.35,3150359.95
1660748548.0576525,08/18/2022--01:02:28,195309.65,1550685.95
1660778179.3441532,08/18/2022--09:16:19,412541.8,3674990.65
1660807681.1939256,08/18/2022--17:28:01,213585.7,1412990.35
1660835293.140338,08/19/2022--01:08:13,388704.3,4412421.4
1660864583.2861524,08/19/2022--09:16:23,297797.95,3181528.0
1660892982.9673333,08/19/2022--17:09:42,251156.25,2845112.65
1660921520.297617,08/20/2022--01:05:20,299130.45,3222424.0
1660950648.5543876,08/20/2022--09:10:48,237166.25,2802226.8
1660979282.6113882,08/20/2022--17:08:02,237020.35,2728289.75
1661036095.206883,08/21/2022--08:54:55,337510.9,4426155.95
1661064380.1041234,08/21/2022--16:46:20,253111.35,3048418.25
1661123013.330709,08/22/2022--09:03:33,251123.6,2793329.3
1661208404.7366545,08/23/2022--08:46:44,233900.35,2661812.15
1661237565.4076488,08/23/2022--16:52:45,240412.3,2842639.85
1661266871.3852978,08/24/2022--01:01:11,265345.9,3234287.7
1661296200.2926245,08/24/2022--09:10:00,257377.95,3051037.05
1661352340.4753387,08/25/2022--00:45:40,258769.25,2903878.2
1661381476.9667122,08/25/2022--08:51:16,194896.15,2454201.85
1661468398.2601244,08/26/2022--08:59:58,341792.85,4466601.2
1661526117.894191,08/27/2022--01:01:57,214261.4,2700971.0
1661554881.5495105,08/27/2022--09:01:21,257655.0,3379050.4
1661727756.8158545,08/29/2022--09:02:36,263584.4,3362146.35
1661756562.5978346,08/29/2022--17:02:42,225163.9,2316150.7
1661785309.2744918,08/30/2022--01:01:49,261602.9,2390230.15
1661814174.102714,08/30/2022--09:02:54,247021.8,2516654.65
1661842454.955498,08/30/2022--16:54:14,269661.2,2339785.05
1661900684.184366,08/31/2022--09:04:44,244601.15,2690211.75
1661958420.0029917,09/01/2022--01:07:00,147178.9,1493264.35
1662015716.7539146,09/01/2022--17:01:56,172622.75,2120715.2
1662076772.6337636,09/02/2022--09:59:32,205877.2,2746083.3
